attempt=3
returncode=0
elapsed_sec=20.88

STDOUT:
Epoch 1, Loss: 1.9650460879007976
Validation Accuracy: 0.5000, Macro F1: 0.3873
Epoch 2, Loss: 1.9847138325373332
Validation Accuracy: 0.4881, Macro F1: 0.3806
Epoch 3, Loss: 2.036267121632894
Validation Accuracy: 0.5476, Macro F1: 0.4981
Epoch 4, Loss: 1.3318490982055664
Validation Accuracy: 0.5238, Macro F1: 0.4666
Epoch 5, Loss: 1.3261936108271282
Validation Accuracy: 0.5119, Macro F1: 0.4424
Epoch 6, Loss: 1.2164796789487202
Validation Accuracy: 0.4881, Macro F1: 0.4229
Epoch 7, Loss: 1.1370848814646404
Validation Accuracy: 0.5238, Macro F1: 0.4384
Epoch 8, Loss: 1.0873496929804485
Validation Accuracy: 0.5714, Macro F1: 0.5030
Epoch 9, Loss: 1.0486041903495789
Validation Accuracy: 0.5595, Macro F1: 0.5083
Epoch 10, Loss: 1.0909820596377056
Validation Accuracy: 0.5476, Macro F1: 0.4915
Epoch 11, Loss: 0.9340788920720419
Validation Accuracy: 0.5238, Macro F1: 0.4666
Epoch 12, Loss: 1.0463961561520894
Validation Accuracy: 0.5119, Macro F1: 0.4439
Epoch 13, Loss: 1.011183261871338
Validation Accuracy: 0.5357, Macro F1: 0.4850
Epoch 14, Loss: 0.9704289237658182
Validation Accuracy: 0.5476, Macro F1: 0.4963
Epoch 15, Loss: 0.9455565412839254
Validation Accuracy: 0.5476, Macro F1: 0.4981
Epoch 16, Loss: 0.9912729263305664
Validation Accuracy: 0.5595, Macro F1: 0.5096
Epoch 17, Loss: 0.9378015001614889
Validation Accuracy: 0.5357, Macro F1: 0.4867
Epoch 18, Loss: 0.9330722093582153
Validation Accuracy: 0.5714, Macro F1: 0.5172
Epoch 19, Loss: 0.875037670135498
Validation Accuracy: 0.5714, Macro F1: 0.5153
Epoch 20, Loss: 0.9138282140096029
Validation Accuracy: 0.5595, Macro F1: 0.5066
Epoch 21, Loss: 0.9434894124666849
Validation Accuracy: 0.5476, Macro F1: 0.4973
Epoch 22, Loss: 0.8846920331319174
Validation Accuracy: 0.5595, Macro F1: 0.5077
Epoch 23, Loss: 0.9018914500872294
Validation Accuracy: 0.5833, Macro F1: 0.5124
Epoch 24, Loss: 0.880947212378184
Validation Accuracy: 0.5952, Macro F1: 0.5241
Epoch 25, Loss: 0.8799936572710673
Validation Accuracy: 0.5833, Macro F1: 0.5127
Epoch 26, Loss: 0.9181090195973715
Validation Accuracy: 0.6190, Macro F1: 0.5567
Epoch 27, Loss: 0.8691265980402628
Validation Accuracy: 0.6071, Macro F1: 0.5471
Epoch 28, Loss: 0.8603256940841675
Validation Accuracy: 0.5952, Macro F1: 0.5372
Epoch 29, Loss: 0.8525940577189127
Validation Accuracy: 0.5952, Macro F1: 0.5372
Epoch 30, Loss: 0.809939424196879
Validation Accuracy: 0.5952, Macro F1: 0.5385
Epoch 31, Loss: 0.8682418068250021
Validation Accuracy: 0.6190, Macro F1: 0.5567
Epoch 32, Loss: 0.8048237959543864
Validation Accuracy: 0.6071, Macro F1: 0.5489
Epoch 33, Loss: 0.8155518968900045
Validation Accuracy: 0.6071, Macro F1: 0.5626
Epoch 34, Loss: 0.7766364415486654
Validation Accuracy: 0.5952, Macro F1: 0.5531
Epoch 35, Loss: 0.8398210604985555
Validation Accuracy: 0.5952, Macro F1: 0.5394
Epoch 36, Loss: 0.8502553701400757
Validation Accuracy: 0.6071, Macro F1: 0.5499
Epoch 37, Loss: 0.7925360401471456
Validation Accuracy: 0.6071, Macro F1: 0.5418
Epoch 38, Loss: 0.8887512882550558
Validation Accuracy: 0.6071, Macro F1: 0.5418
Epoch 39, Loss: 0.8488767941792806
Validation Accuracy: 0.6190, Macro F1: 0.5567
Epoch 40, Loss: 0.7855069239934286
Validation Accuracy: 0.6310, Macro F1: 0.5664
Epoch 41, Loss: 0.7649784882863363
Validation Accuracy: 0.6190, Macro F1: 0.5567
Epoch 42, Loss: 0.7676401336987814
Validation Accuracy: 0.6071, Macro F1: 0.5471
Epoch 43, Loss: 0.7620880603790283
Validation Accuracy: 0.6429, Macro F1: 0.6027
Epoch 44, Loss: 0.7521608074506124
Validation Accuracy: 0.5833, Macro F1: 0.5326
Epoch 45, Loss: 0.755765457948049
Validation Accuracy: 0.5952, Macro F1: 0.5553
Epoch 46, Loss: 0.7769907712936401
Validation Accuracy: 0.6310, Macro F1: 0.5818
Epoch 47, Loss: 0.7578990459442139
